,terms,log_prob
0,"PM(""obj_obj_obj"")",0.0
1,"[BB,I,PM(""obj_obj_obj"")]",-1.3862943611198906
2,"[BB,I,[BB,I,PM(""obj_obj_obj"")]]",-2.772588722239781
3,"[BB,I,[BK,I,PM(""obj_obj"")]]",-2.772588722239781
4,"[BB,I,[KB,I,PM(""obj_obj"")]]",-2.772588722239781
5,"[BB,I,[KK,I,obj]]",-2.772588722239781
6,"[BB,I,[BK,[setLength,obj],PM(""obj_num"")]]",-4.1588830833596715
7,"[BB,I,[BC,[B,setLength,PM(""obj_obj"")],PM(""obj_num"")]]",-4.852030263919617
8,"[BB,I,[BC,[K,setLength,obj],PM(""obj_num"")]]",-4.852030263919617
9,"[BB,I,[KB,[setLength,obj],PM(""obj_num"")]]",-4.1588830833596715
10,"[BB,I,[KK,[setLength,obj],num]]",-4.1588830833596715
11,"[BB,I,[KC,[B,setLength,PM(""obj_obj"")],num]]",-4.852030263919617
12,"[BB,I,[KC,[K,setLength,obj],num]]",-4.852030263919617
13,"[BB,I,[KS,[B,setLength,PM(""obj_obj"")],PM(""obj_num"")]]",-4.852030263919617
14,"[BB,I,[KS,[K,setLength,obj],PM(""obj_num"")]]",-4.852030263919617
15,"[BB,I,[CB,[B,setLength,PM(""obj_obj"")],PM(""obj_num"")]]",-4.852030263919617
16,"[BB,I,[CB,[K,setLength,obj],PM(""obj_num"")]]",-4.852030263919617
17,"[BB,I,[CK,[B,setLength,PM(""obj_obj"")],num]]",-4.852030263919617
18,"[BB,I,[CK,[K,setLength,obj],num]]",-4.852030263919617
19,"[BB,I,[CC,[BB,setLength,PM(""obj_obj_obj"")],num]]",-5.545177444479562
20,"[BB,I,[CC,[BK,setLength,PM(""obj_obj"")],num]]",-5.545177444479562
21,"[BB,I,[CC,[KB,setLength,PM(""obj_obj"")],num]]",-5.545177444479562
22,"[BB,I,[CC,[KK,setLength,obj],num]]",-5.545177444479562
23,"[BB,I,[CS,[BB,setLength,PM(""obj_obj_obj"")],PM(""obj_num"")]]",-5.545177444479562
24,"[BB,I,[CS,[BK,setLength,PM(""obj_obj"")],PM(""obj_num"")]]",-5.545177444479562
25,"[BB,I,[CS,[KB,setLength,PM(""obj_obj"")],PM(""obj_num"")]]",-5.545177444479562
26,"[BB,I,[CS,[KK,setLength,obj],PM(""obj_num"")]]",-5.545177444479562
27,"[BB,I,[SK,[B,setLength,PM(""obj_obj"")],PM(""obj_num"")]]",-4.852030263919617
28,"[BB,I,[SK,[K,setLength,obj],PM(""obj_num"")]]",-4.852030263919617
29,"[BB,I,[SC,[BB,setLength,PM(""obj_obj_obj"")],PM(""obj_num"")]]",-5.545177444479562
30,"[BB,I,[SC,[BK,setLength,PM(""obj_obj"")],PM(""obj_num"")]]",-5.545177444479562
31,"[BB,I,[SC,[KB,setLength,PM(""obj_obj"")],PM(""obj_num"")]]",-5.545177444479562
32,"[BB,I,[SC,[KK,setLength,obj],PM(""obj_num"")]]",-5.545177444479562
33,"[BB,I,[BK,[setStripe,obj],PM(""obj_num"")]]",-4.1588830833596715
34,"[BB,I,[BC,[B,setStripe,PM(""obj_obj"")],PM(""obj_num"")]]",-4.852030263919617
35,"[BB,I,[BC,[K,setStripe,obj],PM(""obj_num"")]]",-4.852030263919617
36,"[BB,I,[KB,[setStripe,obj],PM(""obj_num"")]]",-4.1588830833596715
37,"[BB,I,[KK,[setStripe,obj],num]]",-4.1588830833596715
38,"[BB,I,[KC,[B,setStripe,PM(""obj_obj"")],num]]",-4.852030263919617
39,"[BB,I,[KC,[K,setStripe,obj],num]]",-4.852030263919617
40,"[BB,I,[KS,[B,setStripe,PM(""obj_obj"")],PM(""obj_num"")]]",-4.852030263919617
41,"[BB,I,[KS,[K,setStripe,obj],PM(""obj_num"")]]",-4.852030263919617
42,"[BB,I,[CB,[B,setStripe,PM(""obj_obj"")],PM(""obj_num"")]]",-4.852030263919617
43,"[BB,I,[CB,[K,setStripe,obj],PM(""obj_num"")]]",-4.852030263919617
44,"[BB,I,[CK,[B,setStripe,PM(""obj_obj"")],num]]",-4.852030263919617
45,"[BB,I,[CK,[K,setStripe,obj],num]]",-4.852030263919617
46,"[BB,I,[CC,[BB,setStripe,PM(""obj_obj_obj"")],num]]",-5.545177444479562
47,"[BB,I,[CC,[BK,setStripe,PM(""obj_obj"")],num]]",-5.545177444479562
48,"[BB,I,[CC,[KB,setStripe,PM(""obj_obj"")],num]]",-5.545177444479562
49,"[BB,I,[CC,[KK,setStripe,obj],num]]",-5.545177444479562
50,"[BB,I,[CS,[BB,setStripe,PM(""obj_obj_obj"")],PM(""obj_num"")]]",-5.545177444479562
51,"[BB,I,[CS,[BK,setStripe,PM(""obj_obj"")],PM(""obj_num"")]]",-5.545177444479562
52,"[BB,I,[CS,[KB,setStripe,PM(""obj_obj"")],PM(""obj_num"")]]",-5.545177444479562
53,"[BB,I,[CS,[KK,setStripe,obj],PM(""obj_num"")]]",-5.545177444479562
54,"[BB,I,[SK,[B,setStripe,PM(""obj_obj"")],PM(""obj_num"")]]",-4.852030263919617
55,"[BB,I,[SK,[K,setStripe,obj],PM(""obj_num"")]]",-4.852030263919617
56,"[BB,I,[SC,[BB,setStripe,PM(""obj_obj_obj"")],PM(""obj_num"")]]",-5.545177444479562
57,"[BB,I,[SC,[BK,setStripe,PM(""obj_obj"")],PM(""obj_num"")]]",-5.545177444479562
58,"[BB,I,[SC,[KB,setStripe,PM(""obj_obj"")],PM(""obj_num"")]]",-5.545177444479562
59,"[BB,I,[SC,[KK,setStripe,obj],PM(""obj_num"")]]",-5.545177444479562
60,"[BB,I,[BK,[setShape,obj],PM(""obj_shape"")]]",-4.1588830833596715
61,"[BB,I,[BC,[B,setShape,PM(""obj_obj"")],PM(""obj_shape"")]]",-4.852030263919617
62,"[BB,I,[BC,[K,setShape,obj],PM(""obj_shape"")]]",-4.852030263919617
63,"[BB,I,[KB,[setShape,obj],PM(""obj_shape"")]]",-4.1588830833596715
64,"[BB,I,[KK,[setShape,obj],shape]]",-4.1588830833596715
65,"[BB,I,[KC,[B,setShape,PM(""obj_obj"")],shape]]",-4.852030263919617
66,"[BB,I,[KC,[K,setShape,obj],shape]]",-4.852030263919617
67,"[BB,I,[KS,[B,setShape,PM(""obj_obj"")],PM(""obj_shape"")]]",-4.852030263919617
68,"[BB,I,[KS,[K,setShape,obj],PM(""obj_shape"")]]",-4.852030263919617
69,"[BB,I,[CB,[B,setShape,PM(""obj_obj"")],PM(""obj_shape"")]]",-4.852030263919617
70,"[BB,I,[CB,[K,setShape,obj],PM(""obj_shape"")]]",-4.852030263919617
71,"[BB,I,[CK,[B,setShape,PM(""obj_obj"")],shape]]",-4.852030263919617
72,"[BB,I,[CK,[K,setShape,obj],shape]]",-4.852030263919617
73,"[BB,I,[CC,[BB,setShape,PM(""obj_obj_obj"")],shape]]",-5.545177444479562
74,"[BB,I,[CC,[BK,setShape,PM(""obj_obj"")],shape]]",-5.545177444479562
75,"[BB,I,[CC,[KB,setShape,PM(""obj_obj"")],shape]]",-5.545177444479562
76,"[BB,I,[CC,[KK,setShape,obj],shape]]",-5.545177444479562
77,"[BB,I,[CS,[BB,setShape,PM(""obj_obj_obj"")],PM(""obj_shape"")]]",-5.545177444479562
78,"[BB,I,[CS,[BK,setShape,PM(""obj_obj"")],PM(""obj_shape"")]]",-5.545177444479562
79,"[BB,I,[CS,[KB,setShape,PM(""obj_obj"")],PM(""obj_shape"")]]",-5.545177444479562
80,"[BB,I,[CS,[KK,setShape,obj],PM(""obj_shape"")]]",-5.545177444479562
81,"[BB,I,[SK,[B,setShape,PM(""obj_obj"")],PM(""obj_shape"")]]",-4.852030263919617
82,"[BB,I,[SK,[K,setShape,obj],PM(""obj_shape"")]]",-4.852030263919617
83,"[BB,I,[SC,[BB,setShape,PM(""obj_obj_obj"")],PM(""obj_shape"")]]",-5.545177444479562
84,"[BB,I,[SC,[BK,setShape,PM(""obj_obj"")],PM(""obj_shape"")]]",-5.545177444479562
85,"[BB,I,[SC,[KB,setShape,PM(""obj_obj"")],PM(""obj_shape"")]]",-5.545177444479562
86,"[BB,I,[SC,[KK,setShape,obj],PM(""obj_shape"")]]",-5.545177444479562
87,"[BK,I,PM(""obj_obj"")]",-1.3862943611198906
88,"[BK,I,[B,I,PM(""obj_obj"")]]",-2.0794415416798357
89,"[BK,I,[K,I,obj]]",-2.0794415416798357
90,"[BK,I,[B,[setLength,obj],PM(""obj_num"")]]",-2.772588722239781
91,"[BK,I,[K,[setLength,obj],num]]",-2.772588722239781
92,"[BK,I,[C,[B,setLength,PM(""obj_obj"")],num]]",-3.465735902799726
93,"[BK,I,[C,[K,setLength,obj],num]]",-3.465735902799726
94,"[BK,I,[S,[B,setLength,PM(""obj_obj"")],PM(""obj_num"")]]",-3.465735902799726
95,"[BK,I,[S,[K,setLength,obj],PM(""obj_num"")]]",-3.465735902799726
96,"[BK,I,[B,[setStripe,obj],PM(""obj_num"")]]",-2.772588722239781
97,"[BK,I,[K,[setStripe,obj],num]]",-2.772588722239781
98,"[BK,I,[C,[B,setStripe,PM(""obj_obj"")],num]]",-3.465735902799726
99,"[BK,I,[C,[K,setStripe,obj],num]]",-3.465735902799726
100,"[BK,I,[S,[B,setStripe,PM(""obj_obj"")],PM(""obj_num"")]]",-3.465735902799726
101,"[BK,I,[S,[K,setStripe,obj],PM(""obj_num"")]]",-3.465735902799726
102,"[BK,I,[B,[setShape,obj],PM(""obj_shape"")]]",-2.772588722239781
103,"[BK,I,[K,[setShape,obj],shape]]",-2.772588722239781
104,"[BK,I,[C,[B,setShape,PM(""obj_obj"")],shape]]",-3.465735902799726
105,"[BK,I,[C,[K,setShape,obj],shape]]",-3.465735902799726
